name,category_list,funding_total_usd,country_code,state_code,region,city,funding_rounds,first_funding_at,last_funding_at,lifetime
13125,12534,10547.0,11743,11430,11536,11538,13125.0,13125,13125,13125.0
13125,6206,,96,235,688,2117,,3299,3021,
Crystalsol,Software,,USA,CA,SF Bay Area,San Francisco,,2014-01-01,2014-01-01,
1,775,,7428,2552,1750,656,,126,111,
,,16549102.695137562,,,,,1.7144380952380953,,,3097.609523809524
,,92172825.63175413,,,,,1.3188004135211187,,,2128.356553541741
,,1.0,,,,,1.0,,,52.0
,,320000.0,,,,,1.0,,,1726.0
,,2000000.0,,,,,1.0,,,2526.0
,,10000000.0,,,,,2.0,,,3866.0
,,4715000000.0,,,,,15.0,,,17167.0
